pid,sex,group,visit1_date,visit2_date,visit1_blactate_begin,visit2_blactate_begin,visit1_vo2_max,visit2_vo2_max,visit1_vco2_max,visit2_vco2_max,visit1_rer_max,visit2_rer_max,visit1_speed_max,visit2_speed_max,visit1_blactate_end,visit2_blactate_end,visit1_comments,visit2_comments
10621903,male,1w,11JAN2019,,1.4,NA,56.12,NA,61.12,NA,1.1,NA,21.6,NA,6.5,NA,,
10675086,male,1w,11JAN2019,,1.8,NA,68.35,NA,73.76,NA,1.08,NA,21.6,NA,12.7,NA,,
10677887,male,1w,11JAN2019,,1.2,NA,64.26,NA,65.82,NA,1.02,NA,23.4,NA,11.6,NA,,
10434046,male,2w,07JAN2019,,1.2,NA,64.44,NA,66.11,NA,1.03,NA,23.4,NA,NA,NA,lactate meter battery died - no post-VO2 Lactate,
10436170,male,2w,07JAN2019,,1.5,NA,65.07,NA,68.38,NA,1.05,NA,25.2,NA,14.9,NA,,
10472053,male,2w,08JAN2019,,1.6,NA,68.6,NA,71.59,NA,1.05,NA,23.4,NA,10.5,NA,,
10486003,male,2w,08JAN2019,,1.3,NA,69.82,NA,69.72,NA,1,NA,25.2,NA,10,NA,,
10496580,male,2w,08JAN2019,,1,NA,69.19,NA,75.16,NA,1.09,NA,21.6,NA,12.3,NA,,
10502300,male,2w,08JAN2019,,1.5,NA,62.6,NA,67.15,NA,1.07,NA,21.6,NA,12.3,NA,,
10531599,male,2w,09JAN2019,,3.2,NA,68.54,NA,73.67,NA,1.08,NA,21.6,NA,9.1,NA,,
10564179,male,2w,09JAN2019,,1,NA,66.74,NA,70.05,NA,1.05,NA,21.6,NA,10.2,NA,,
10587543,male,2w,10JAN2019,,1.4,NA,64.06,NA,69.12,NA,1.08,NA,21.6,NA,14.4,NA,,
10589325,male,2w,10JAN2019,,1.6,NA,61.8,NA,65.6,NA,1.07,NA,23.4,NA,9,NA,,
10591575,male,2w,10JAN2019,,1.7,NA,72.06,NA,74.92,NA,1.04,NA,23.4,NA,11.9,NA,,
10611193,male,2w,10JAN2019,,1.4,NA,64.04,NA,68.22,NA,1.07,NA,23.4,NA,14.3,NA,,
10637079,male,2w,11JAN2019,,1.3,NA,78.61,NA,82.63,NA,1.05,NA,21.6,NA,10.5,NA,,
10641858,male,2w,11JAN2019,,1.6,NA,63.56,NA,64.1,NA,1.04,NA,21.6,NA,7.8,NA,,
10672656,male,2w,11JAN2019,,1.8,NA,65.35,NA,65.19,NA,1,NA,23.4,NA,9.7,NA,,
10059369,male,4w,08OCT2018,06NOV2018,1.4,1.4,65.38,70.03,69.1,72.16,1.06,1.03,21.6,27,12.6,7.5,,
10063633,male,4w,08OCT2018,06NOV2018,1.4,1.6,68.87,70.02,72.84,71.84,1.07,1.05,21.6,25.2,16.1,9.3,,Max Speed: 25.2 m/min at 15 degree
10085017,male,4w,08OCT2018,06NOV2018,1.1,1.9,68.75,67.27,72.26,67.34,1.06,1.03,19.8,25.2,8.7,8.1,,Max Speed: 25.2 m/min at 15 degree
10088113,male,4w,08OCT2018,06NOV2018,0.9,1.9,67.61,69.96,70.48,72.55,1.06,1.04,23.4,25.2,10.6,13.3,,Max Speed: 25.2 m/min at 15 degree
10093702,male,4w,08OCT2018,06NOV2018,1.4,1.6,71,72.27,73.79,73.29,1.05,1.01,25.2,27,13.7,9.3,,Max Speed: 27.0 m/min at 15 degree
10095241,male,4w,09OCT2018,07NOV2018,1.2,1.5,62.1,64.12,67.4,70.91,1.08,1.12,21.6,23.4,11.8,12.8,,Max Speed: 23.4 m/min at 15 degree
10106383,male,4w,09OCT2018,07NOV2018,1.6,1.6,65.8,67.3,68.08,66.01,1.03,0.98,23.4,25.2,9,7,,Max Speed: 25.2 m/min at 15 degree
10136967,male,4w,09OCT2018,07NOV2018,1.6,1.9,64.34,67.39,69.59,70.75,1.09,1.07,21.6,27,12,8.7,,Max Speed: 27.0 m/min at 15 degree
10139044,male,4w,09OCT2018,07NOV2018,1.6,1.6,59.9,64.37,66.41,68.86,1.13,1.07,21.6,23.4,13.3,13.6,,Max Speed: 23.4 m/min at 15 degree
10139710,male,4w,09OCT2018,07NOV2018,2,2,67.05,69.4,71.34,74.2,1.06,1.08,21.6,23.4,17.3,11,,Max Speed: 23.4 m/min at 15 degree
10152148,male,4w,10OCT2018,08NOV2018,1.1,1.3,64.39,71.33,70.82,74.6,1.1,1.07,21.6,23.4,13.8,7.5,,Max Speed: 23.4 m/min at 15 degree
10171010,male,4w,10OCT2018,08NOV2018,1.3,1.4,63.02,68.54,69.76,67.5,1.11,0.99,19.8,25.2,14.7,5.7,,"Max Speed: 25.2 m/min at 15 degree. The rat injured its toe around 11:40:00 AM. Thus, pushing the rat to run further was very difficult."
10175431,male,4w,10OCT2018,08NOV2018,1.7,1.3,60.88,69.26,69.39,71.13,1.14,1.04,19.8,25.2,14.1,7.5,,Max Speed: 25.2 m/min at 15 degree
